Section,Checklist Item,Description,적용 여부 및 구현 내용
회원가입 및 프로필 관리,서버측 입력 검증,"사용자명(username)와 비밀번호(password)에 대해 길이, 허용 문자 집합, 형식 등 서버측 검증 수행. XSS 공격 방지를 위해 입력값 필터링 및 인코딩 적용 여부 확인","적용 - register()/profile()에서 아이디(영문/숫자/밑줄 3~20자), 닉네임(1~20자), 비밀번호(8자 이상)를 서버에서 재검증. XSS는 Jinja2 자동 이스케이프로 방어(별도 필터링 불필요)"
,CSRF 보호,"회원가입, 로그인, 프로필 수정 등 모든 폼에 대해 CSRF 토큰 사용 여부를 확인하여 요청 위조 공격 방지","적용 - Flask-WTF CSRFProtect 전역 적용, POST 폼이 있는 템플릿 전체(10개)에 csrf_token 히든 필드 추가. 토큰 없거나 틀리면 400 거부"
,비밀번호 보안,"비밀번호를 평문으로 저장하지 않고 bcrypt, Argon2 등 강력한 해시 알고리즘과 고유 salt를 적용하여 암호화 저장하는지 확인","적용 - werkzeug.security의 generate_password_hash/check_password_hash 사용(기본 scrypt, 사용자별 고유 salt 포함)"
,세션 쿠키 설정,세션 쿠키에 HttpOnly 및 HTTPS 환경에서 Secure 플래그가 적용되어 있는지 확인,"적용 - SESSION_COOKIE_HTTPONLY=True, SESSION_COOKIE_SAMESITE=Lax 고정. SESSION_COOKIE_SECURE는 환경변수(SESSION_COOKIE_SECURE=1)로 HTTPS 배포 시 활성화"
,세션 만료 및 재인증,일정 시간 이후 세션 만료 및 민감 작업 시 재인증 로직이 구현되어 있는지 확인,적용 - PERMANENT_SESSION_LIFETIME 30분으로 세션 자동 만료. 비밀번호 변경은 현재 비밀번호 재확인 필요(재인증). 충전/출금 등 다른 민감 작업의 재인증 확대는 범위 밖(알려진 한계)
,실패 로그인 방어,로그인 실패 횟수에 따른 계정 잠금 혹은 지연(time-out) 메커니즘 적용 여부 확인,"적용 - login()에서 연속 5회(LOGIN_LOCKOUT_THRESHOLD) 실패 시 5분간(LOGIN_LOCKOUT_MINUTES) 계정 잠금. user.failed_login_count/locked_until 컬럼으로 관리, 로그인 성공 시 초기화"
,오류 메시지,"오류 발생 시 내부 정보(스택 트레이스, DB 정보 등)가 노출되지 않도록 처리되어 있는지 확인",적용 - FLASK_DEBUG=1 환경변수가 있을 때만 Werkzeug 디버거 활성화(기본값 꺼짐). 미설정 시 Flask 기본 에러 페이지로 스택 트레이스 미노출
상품 등록 및 관리,폼 입력 검증,"상품 제목, 설명, 가격 등의 입력 필드에 대해 서버측 검증 및 필수 항목 체크 여부 확인. 가격은 숫자 형식 및 범위 검증 적용","적용 - validate_product_fields()로 제목(1~100자)/설명(1~2000자)/가격(1~1,000,000,000 사이 숫자)을 등록·수정 시점에 서버에서 검증"
,XSS 방어,사용자 입력(상품 설명 등)에 대해 HTML 태그 및 스크립트 코드 이스케이프 또는 필터링 적용 여부 확인,적용 - Jinja2 기본 자동 이스케이프로 상품 제목/설명 등 모든 사용자 입력을 문자열로만 렌더링(|safe 필터 미사용)
,인증된 사용자만 등록,"상품 등록, 수정, 삭제 기능이 로그인한 사용자에게만 허용되도록 접근 제어가 구현되어 있는지 확인","적용 - new_product()/edit_product()/delete_product() 모두 session['user_id'] 존재 여부를 먼저 확인, 없으면 로그인 페이지로 리다이렉트"
,소유자 확인,"상품 수정 및 삭제 시, 요청한 사용자가 해당 상품의 소유자인지 검증하는 로직이 구현되어 있는지 확인",적용 - edit_product()는 product.seller_id == session['user_id']만 허용. delete_product()는 소유자 또는 관리자(current_user_is_admin())만 허용 신규 추가된 판매 상태 수동 전환 라우트(/product/<id>/toggle-sold)도 동일하게 seller_id == session['user_id']를 검증해 소유자만 허용한다.
,데이터 무결성,데이터베이스에 저장되기 전 모든 필수 항목 및 형식이 올바른지 검증하는 로직이 있는지 확인,적용 - validate_product_fields()로 저장 전 필수 항목/형식 검증. 이미지 업로드도 save_product_image()에서 확장자 화이트리스트 검증 후 저장
실시간 채팅 및 메시징,메시지 내용 검증,"채팅 메시지에 대해 길이 제한, 허용 문자 집합, XSS 이스케이프 처리 여부 등 서버측 검증 수행 여부 확인","적용 - 그룹/1:1 채팅 메시지를 서버에서 500자(CHAT_MESSAGE_MAX_LENGTH)로 제한, 공백만 있는 메시지는 무시. 렌더링은 Jinja2 자동 이스케이프로 XSS 방어"
,사용자 인증,Socket 연결 시 사용자가 인증된 상태인지 확인하는 로직(예: 로그인 상태 확인)이 적용되어 있는지 확인,적용 - send_message/join_chat/send_direct_message 이벤트 핸들러 모두 최상단에서 session['user_id'] 존재 여부 확인 후 없으면 무시 채팅 목록 조회(/chats)도 로그인 세션 확인 후에만 본인이 참여한 대화방만 조회 가능하다.
,메시지 검증,클라이언트에서 수신한 메시지 데이터의 형식 및 내용에 대해 서버측 검증 로직이 존재하는지 확인,적용 - 길이 제한(500자) 및 1:1 채팅은 is_conversation_participant()로 실제 대화방 참여자인지 DB 기준 재검증 후에만 처리
,Rate Limiting,동일 사용자가 단기간에 과도한 메시지를 보내지 않도록 제한하는 기능(스팸 방지)이 구현되어 있는지 확인,적용 - is_chat_rate_limited()로 동일 사용자가 10초(CHAT_RATE_LIMIT_WINDOW_SECONDS) 내 10건(CHAT_RATE_LIMIT_COUNT) 초과 전송 시 이후 메시지 무시
,연결 암호화,운영 환경에서 WSS(SSL/TLS 암호화된 웹소켓)를 사용하여 데이터 전송의 기밀성이 보장되는지 확인,"해당 없음(로컬 개발 범위) - CSP의 connect-src에 ws:/wss: 모두 허용해뒀으며, 운영 배포 시 리버스 프록시(nginx 등)에서 TLS 종료 후 WSS로 서비스해야 함(알려진 한계)"
안전 거래 및 신고,폼 입력 검증,"신고 대상(target_id) 및 신고 사유(reason)에 대해 서버측 입력 검증, 길이 제한, XSS 방어 적용 여부 확인","적용 - report()에서 target_type이 user/product인지, target_id가 실제 존재하는지 확인. 신고 사유(reason)는 1~500자로 제한. 렌더링은 Jinja2 자동 이스케이프"
,인증된 사용자 접근,신고 기능은 반드시 로그인한 사용자만 접근 가능하도록 제어되어 있는지 확인,"적용 - report() 최상단에서 session['user_id'] 존재 여부 확인, 없으면 로그인 페이지로 리다이렉트"
,데이터 무결성 및 로그 관리,"신고 접수 시 올바른 형식의 데이터가 저장되고, 신고 활동이 감사 로그로 기록되는지 확인",부분 적용 - report 테이블에 상태(status: pending/accepted/rejected)와 접수 시각(created_at)을 기록해 이력 추적 가능. 관리자의 수락/거절/삭제 처리 자체를 별도 감사 로그 테이블로 남기지는 않음(범위 밖)
,신고 남용 방지,"동일 사용자의 반복 신고 제한, 신고 건수 제한 및 관리자 검토 프로세스 등 신고 기능 남용 방지 로직이 구현되어 있는지 확인",적용 - 모든 신고는 관리자가 수락/거절해야 반영되는 검토 프로세스를 거침. 거절된(허위) 신고가 신고자 기준 3건(AUTO_SUSPEND_FALSE_REPORT_THRESHOLD) 이상이면 신고자를 자동 정지해 반복 허위 신고를 억제
전체 시스템,ORM 및 파라미터 바인딩,SQLAlchemy ORM 및 파라미터 바인딩을 통해 SQL 인젝션 공격에 대한 방어가 제대로 이루어지고 있는지 확인,부분 적용 - SQLAlchemy ORM은 사용하지 않고 sqlite3 + 파라미터 바인딩(? 플레이스홀더)을 전 구간에 일관되게 사용. 문자열 결합 쿼리가 없어 SQL Injection 방어 효과는 ORM과 동일
,데이터베이스 권한,데이터베이스 사용자 권한이 최소 권한 원칙에 따라 설정되어 민감 데이터 접근이 제한되어 있는지 확인,"해당 없음(SQLite 특성) - SQLite는 MySQL/PostgreSQL과 달리 DB 사용자 권한 개념이 없음. market.db 파일은 .gitignore로 저장소 노출을 막고, 운영 배포 시에는 OS 파일 접근 권한으로 최소 권한을 적용해야 함"
,보안 헤더 설정,"Content-Security-Policy, X-Frame-Options, X-Content-Type-Options 등의 보안 헤더가 적용되어 있는지 확인","적용 - after_request 훅에서 CSP(script-src에 unsafe-inline 미포함), X-Content-Type-Options: nosniff, X-Frame-Options: DENY, Referrer-Policy를 모든 응답에 추가"
,HTTPS 적용,운영 환경에서 HTTPS를 사용하여 데이터 전송 시 기밀성 및 무결성이 보장되는지 확인,"해당 없음(로컬 개발 범위) - SESSION_COOKIE_SECURE 환경변수로 HTTPS 배포를 대비해뒀으나, 실제 TLS 종료(인증서 설정 등)는 배포 인프라(nginx, ngrok 등) 몫이라 코드 범위 밖"
,에러 및 예외 처리,"예외 처리 시 민감 정보가 사용자에게 노출되지 않고, 에러 로그에 민감 정보 기록 방지 로직이 구현되어 있는지 확인",적용 - FLASK_DEBUG 기본값 꺼짐으로 Werkzeug 인터랙티브 디버거(임의 코드 실행 가능) 비활성화. flash 메시지에는 내부 구현 정보를 노출하지 않음
,라이브러리 및 의존성 관리,"사용 중인 Flask, SQLAlchemy, Flask-SocketIO 등 라이브러리의 최신 보안 패치 및 업데이트가 적용되어 있는지 정기적으로 점검","부분 적용 - enviroments.yaml에 필요한 패키지(flask, flask-socketio, flask-wtf 등)는 명시했으나 버전을 고정하지 않음. 운영 배포 전 버전 고정 및 취약점 스캔(pip-audit 등) 권장(알려진 한계)"
